question_id,source_id,exam,state,year,stage,paper,question_number,question_text,marks,marks_basis,paper_scope,subject,topic,subtopic,difficulty,difficulty_basis,static_current,static_current_basis,national_state_scope,national_state_basis,repeated_concept,repeated_concept_count,repeated_concept_group,matched_keyword,classification_method,classification_confidence,source_title,source_url,local_file,extraction_status,extraction_method,quality_flags
q_95f4f62d62ba6dfb,src_c65d7d3c8855c83a,JPSC,Jharkhand,2021,Mains,Bengali Language & Literature,4,"qTma ap ffi-ffitr3r q5q dr alis q5nga qffiq€f*@ flfaRI FT® I CCSME21 (02) 20 20 P.T.0. 111111[11111111111111111111111 tu cq5Tm fflrfe acaa 6ffl m\9 : 02 (PII) 7 x 5 = 3S (ap) qqt]Thq€{ q5Tngg xp qrfu qTfu ft5 ? enfflbm apa I (q) HfBm €q{!;.:a ffi fro iqa5]iFT riha `armHF c3i5Ta' neala ae 5TSREl ffl I (6T) qbqime;I:;T Fha qHftSqa 5R flxpap ffi55 qof qrf fha c5maa o]iccii5T|L ffl I (q) `Iafang' 6.iF7TCFT ann ae qaqitFT iqrma ffi ffitffl i5iFiH rfu qsa I (€) `apiin Th enfaiffi aT5fima' -anBT Ipa I (i;) ""::3;TtetqT ® enfu 9iT abffla ftyrfu 5ii5iii55ifaii5T ® .tl.I giv t5[it5"" - qiLcliD_ql-ffl I (E) alq5iq} atFa lit aT;rna a5fflq FTcffl giv flfaRI m3 I q{=qu D{{!;:ji;i rmrffa € 9nfarfu 6ii]irofha rm Sffl¥r q5ta cq capiF Lqffi 6flilTma -qi-cqirm futca EN ffl I 20",,unavailable,language,Language,Hindi and General Language,"Grammar, comprehension, translation, precis",hard,long_mains_prompt,static,default_static_absence_of_current_signal,general,no_state_or_national_keyword,true,117,language::hindi and general language::paper_label,paper_label,transparent_keyword_rules,0.675,"CIVIL SERVICES MAIN EXAM-2021, ADVT. NO. 01/2021 - Bengali Language & Literature",https://www.jpsc.gov.in/sam_question_paper.php?exam_name=18&subject=Bengali Language & Literature.pdf&submit=Click+Here+To+Download,/Users/vishal/Documents/New project/data/raw/pdfs/jpsc_src_c65d7d3c8855c83a_civil-services-main-exam-2021-advt-no-01-2021-bengali-language-literature.pdf,extracted,pypdf_text_regex,
q_123df9c97c869d60,src_c65d7d3c8855c83a,JPSC,Jharkhand,2021,Mains,Bengali Language & Literature,7,ii;:rmQra `tENalfa' 6qffli5Tcapiqqug adrqqT cqng aha-enffln;mq5a I 20,,unavailable,language,Language,Hindi and General Language,"Grammar, comprehension, translation, precis",medium,default_estimate,static,default_static_absence_of_current_signal,general,no_state_or_national_keyword,true,117,language::hindi and general language::paper_label,paper_label,transparent_keyword_rules,0.645,"CIVIL SERVICES MAIN EXAM-2021, ADVT. NO. 01/2021 - Bengali Language & Literature",https://www.jpsc.gov.in/sam_question_paper.php?exam_name=18&subject=Bengali Language & Literature.pdf&submit=Click+Here+To+Download,/Users/vishal/Documents/New project/data/raw/pdfs/jpsc_src_c65d7d3c8855c83a_civil-services-main-exam-2021-advt-no-01-2021-bengali-language-literature.pdf,extracted,pypdf_text_regex,
q_773dd773de9de1c7,src_c65d7d3c8855c83a,JPSC,Jharkhand,2021,Mains,Bengali Language & Literature,8,farfeq angT9hilmeHg `rmiH ffi' ar:ffl fro L9q5 rfu 5Tstm5F - q_icoliDqt q5a I 20 CCSME2l (02),,unavailable,language,Language,Hindi and General Language,"Grammar, comprehension, translation, precis",medium,default_estimate,static,default_static_absence_of_current_signal,general,no_state_or_national_keyword,true,117,language::hindi and general language::paper_label,paper_label,transparent_keyword_rules,0.645,"CIVIL SERVICES MAIN EXAM-2021, ADVT. NO. 01/2021 - Bengali Language & Literature",https://www.jpsc.gov.in/sam_question_paper.php?exam_name=18&subject=Bengali Language & Literature.pdf&submit=Click+Here+To+Download,/Users/vishal/Documents/New project/data/raw/pdfs/jpsc_src_c65d7d3c8855c83a_civil-services-main-exam-2021-advt-no-01-2021-bengali-language-literature.pdf,extracted,pypdf_text_regex,
q_b52047f089335259,src_0adae9efc5d3fb55,JPSC,Jharkhand,2021,Mains,General Hindi & General English,1,"f±FTftrfhafiTqfiaafaFdiigrVIErm 4Oo wiSffufrm : (ffi) T€""fuapiflia-202OfflT]=a , (H) grT3fi fi qgaT ]xp : Hqen Sit enrm (TT) rmS TTft-erTfin d}rfu (a) qftSEdidr (i5) ed© : qF;HFTrfis erfro fffiiiRErda;rman: tiF>atafaffl%7grrfu3itatffiffl3Tffltq¥rfui (a)q{3itedqFT3F]=al]:qgedgrqaiEqia5`edin'""%7 (TT) rfua¢qTffled% i cia;rmlqai¥q \ CCSME21 (01) EE] 15 (3 x 5 - 15) P.T.0. 1111111111111111111111111111111",,unavailable,language,Language,Hindi and General Language,"Grammar, comprehension, translation, precis",medium,long_question,static,default_static_absence_of_current_signal,general,no_state_or_national_keyword,true,117,language::hindi and general language::paper_label,paper_label,transparent_keyword_rules,0.667,"CIVIL SERVICES MAIN EXAM-2021, ADVT. NO. 01/2021 - General Hindi & General English",https://www.jpsc.gov.in/sam_question_paper.php?exam_name=18&subject=General Hindi & General English.pdf&submit=Click+Here+To+Download,/Users/vishal/Documents/New project/data/raw/pdfs/jpsc_src_0adae9efc5d3fb55_civil-services-main-exam-2021-advt-no-01-2021-general-hindi-general-english.pdf,extracted,pypdf_text_regex,
q_a74762e29f3147e2,src_0adae9efc5d3fb55,JPSC,Jharkhand,2021,Mains,General Hindi & General English,3,"ft±rda;3fflfiapap: (5)iasffiEed$37€ffinqiapSi;raindafuq: chaaiEIdr;#a#i]irm;3qiq]i=:FT edga]T;trmaniqiF{]T;qiqF5FT]T EaTETTTFT;Eiq-qfagrffl]T;""fro tE> fi± 3]ng qTffifi a iapqfaqi ng Sifu : qF®erffifin+ca5§ffii 3RT rm ffa Tin I 3aTIrifirmaani ri en a ha € ¥ I at ,q} th in a I a rm FT fiffi en I Hanifianirm€1 qE qiTTa erTan a Tin a I 01 (PI) ch (2 x 5 = 10) Hnga3]ETffluTffl3qIrifetagrthap: qEfifftHiq€f*aTffafflHEfhaffro3rmarm*i][a]-q]5]adr%i 3rmdrSfhamaitunqiqq*faHTedq}qigthenTritanTifrormTifarfe whqffiri3anTTTquanqriq}3TRErmarm€,3adrchtrapenfflf* REatthEi{Tftyattr@I""rmT%iRE`rm*qi'eyqaqaaqmuT qiHq;chfawiaqSfitEi5qffixpq5{rmTingqiequ]thrmngq5IqimqfifS enSq@*whwlqEfroaenjmTS,Rch%ii;FEflftfaeyTwhqnd¥ia; ifeiFen3fiSqiquafuenffl""qqSjtrfui CCSME21 (01) lllllllllIIllllnllllllllllllll 3 GENERAL HNGLISH 01 (PI) Instructions : (i) Out of total marks 100, marksf or English subject is 50 and Hindi subject is 50. (ii) All questions are compulsory. (iii) Marks are allotted in the margin. (iv) Write answer Of English subject in Roman script and Hindi in Devanagari script. Marks",,unavailable,language,Language,Hindi and General Language,"Grammar, comprehension, translation, precis",hard,long_mains_prompt,static,default_static_absence_of_current_signal,general,no_state_or_national_keyword,true,117,language::hindi and general language::paper_label,paper_label,transparent_keyword_rules,0.675,"CIVIL SERVICES MAIN EXAM-2021, ADVT. NO. 01/2021 - General Hindi & General English",https://www.jpsc.gov.in/sam_question_paper.php?exam_name=18&subject=General Hindi & General English.pdf&submit=Click+Here+To+Download,/Users/vishal/Documents/New project/data/raw/pdfs/jpsc_src_0adae9efc5d3fb55_civil-services-main-exam-2021-advt-no-01-2021-general-hindi-general-english.pdf,extracted,pypdf_text_regex,
q_b2ad4272f1c31696,src_0adae9efc5d3fb55,JPSC,Jharkhand,2021,Mains,General Hindi & General English,1,Write anessay innotmorethan400 words onany oneofthe following : 1 x 15 = 15 (a) Uses and Abuses of social Media. (b) The problem of unemployment in Jharkhand. (c) YourAmbition in Life. (d) Health Infrastructure During covID -19 in India.,,unavailable,language,Language,Hindi and General Language,"Grammar, comprehension, translation, precis",medium,default_estimate,static,default_static_absence_of_current_signal,state_specific,jharkhand,true,117,language::hindi and general language::paper_label,paper_label,transparent_keyword_rules,0.725,"CIVIL SERVICES MAIN EXAM-2021, ADVT. NO. 01/2021 - General Hindi & General English",https://www.jpsc.gov.in/sam_question_paper.php?exam_name=18&subject=General Hindi & General English.pdf&submit=Click+Here+To+Download,/Users/vishal/Documents/New project/data/raw/pdfs/jpsc_src_0adae9efc5d3fb55_civil-services-main-exam-2021-advt-no-01-2021-general-hindi-general-english.pdf,extracted,pypdf_text_regex,
q_b08b5149f6d3387c,src_0adae9efc5d3fb55,JPSC,Jharkhand,2021,Mains,General Hindi & General English,2,"(a) Fill in the blanks with appropriate articles wherever necessary. 1x5=5 I recently discovered that money doesn't buy as much as it used to. I had been living in food for needed to buy bread. dormitory for two years and hadn't had to buy my own whole time. Then I moved into apartment where I food for myself. The first day I bought loaf of (b) Rewrite the following sentences after correcting the errors, if any. If you find a grammatically acceptable sentence, write `acceptable' against it. Do any five : (i) Hegavemeagoodadvice. 1 X5=5 (ii) Doyouhavemuchbooks? (iii) He walks the horse. (iv) Kolkata is further than patna from Ranchi. (v) My father deals in sugar. (vi) I am seniorthanher. (vii) He is an one-eyed doctor. (c) Choose the appropriate alternative to make the sentence acceptable/logical in sense. Do any five. CCSMH21 (01) She You don't to come to my house. (refused/denied) your parents. (hear/listen to) good moming to your teacher. (Say/Tell) He willingly Why did you We had to . my invitation. (excepted/accepted) the orders of your boss ? (defy/deify) without sugar for a day. (go/do) silently till I come. (Lay/Lie) 1x5=5 P.T.O. 1111111111111111111111111111111 01 (PI) Marks Read the following passage carefully and answer the questions that follow : Denial of reality is a very simple form of psychological defence. We see it in its simplest form in children. The child when confronted with indisputable evidence of his wrong-doing may still deny that he did it. As he maintains his denial he may himself come, in a strange kind of way, to believe that what he is saying is true. The denial is often facilitated by another psychological mechanism known as dissociation. The child says, ""It was not me that did it. It was the bad me"", and in this way he denies responsibility not only to his parents but to himself as well. This is a pathetically simple psychological device, and it is only the child or the primitive adult who can use it in this fashion. The normal adult has matured in his psychological reactions so that he no longer uses denial as a psychological defence except in some special circumstances. Sometimes people when faced with great danger can defend themselves psychologicallyandreducetheiranxietybydenyingthatthedangerexistseventhough it is an obvious reality. Perhaps a more common example is seen in the way in which mature people, both men and women, often deny the infidelity of their spouse even when confronted with unmistakable evidence. The denial is not only to others, but to themselves as well. `There must be some other explanation.' They are puzzled, but for the time being this defence saves them from the overwhelming anxiety which would be induced by acknewl6dgement of the truth. Questions : (i) What is `denial ofreality', according to the author? (ii) Which psychological mechanism facilitates the `denial ofreality'? (iii) Who usually use the dissociation mechanism? (iv) How can a normal, matured adult reduce histher anxiety? (v) What can cause overwhelming anxiety to matured people? 2 x 5 -10 2 2 2 2 2",,unavailable,language,Language,Hindi and General Language,"Grammar, comprehension, translation, precis",medium,why,current_affairs,keyword,state_specific,ranchi,true,117,language::hindi and general language::paper_label,paper_label,transparent_keyword_rules,0.82,"CIVIL SERVICES MAIN EXAM-2021, ADVT. NO. 01/2021 - General Hindi & General English",https://www.jpsc.gov.in/sam_question_paper.php?exam_name=18&subject=General Hindi & General English.pdf&submit=Click+Here+To+Download,/Users/vishal/Documents/New project/data/raw/pdfs/jpsc_src_0adae9efc5d3fb55_civil-services-main-exam-2021-advt-no-01-2021-general-hindi-general-english.pdf,extracted,pypdf_text_regex,
q_6fe14dcd44bc8045,src_0adae9efc5d3fb55,JPSC,Jharkhand,2021,Mains,General Hindi & General English,4,"Make aprecis of the following passage and give a suitable title to it. 8 + 2 = 10 In a democratic country free press is the guardian of liberty and the citadel of democratic ideals to protect the public interest. Apart from that, as in the case of private citizens, every newspaper must have the fullest right to publish, propagate and popularise the views and the principles to which it is dedicated irrespective of its ownership. Also, it is the inherent right of the press in any civilized society to encourage the debate in its columns on any issue which affects the nation. The press generally assumes the sacred duty to mould, shape and educate the people. Hence, attempts to regulate such an institution will be detrimental to free thinking and democratic spirit. The newspaper industry is different from any other industry and to treat it on par with the rest of the business is based on a misconception. CCSME2l (01)",,unavailable,language,Language,Hindi and General Language,"Grammar, comprehension, translation, precis",easy,which,static,default_static_absence_of_current_signal,general,no_state_or_national_keyword,true,117,language::hindi and general language::paper_label,paper_label,transparent_keyword_rules,0.675,"CIVIL SERVICES MAIN EXAM-2021, ADVT. NO. 01/2021 - General Hindi & General English",https://www.jpsc.gov.in/sam_question_paper.php?exam_name=18&subject=General Hindi & General English.pdf&submit=Click+Here+To+Download,/Users/vishal/Documents/New project/data/raw/pdfs/jpsc_src_0adae9efc5d3fb55_civil-services-main-exam-2021-advt-no-01-2021-general-hindi-general-english.pdf,extracted,pypdf_text_regex,
q_128f6ff21a92da96,src_d8e9da4021bddf5f,JPSC,Jharkhand,2021,Mains,"General Science, Environment & Technology Development",1,"Compulsory Question (erfffiT¥F) : (I) The Atmosphere is held.to the Earth by (A) Wind (C) Clouds (A) FT (8) Gravity (D) Earth's Magnetic field SgT{Tgivchichqltmuifinfflan%i (8) ,J®ti]ich (C) qTF CCSME21 (1\9) tbj Tthq5Tap dr Mat.ks EE (20 x 2 = 40) P.T.0. A-5 lllllllllllllllllrmllllllllVAlllI (2) A stone resting onthe table has (A) Kinetic Energy (C) Potential Energy (3) (8) Gravitational Energy (D) None of these qF;a5q{qFqfq{iat""aeITSfin¥aqqTcaaTt7 tAj Trfto ed tBFFeded tc> faced tD] rfaatTti Whichofthegivenistheultimatesourceofenergy? (A) Fossil fuel (C) Uranium firEaqirenedfflq{q(qTH)dr%3 (A) irmtr (c) giv (4) Formulaofureais - (A) HN-C02-NH (C) H3N-CO-NH3 ft±figivfflHrfuedi .(A) HN-C02-NH (C) H3N-CO-NH3 (5) GolgiBodyhelps in : (A) Excretion ofsteroids (C) Translation TffiffiHgived%: tA> aea5edfi (c) Frfuti CCSME21 (19) (8) Water (D) Sun (8) qffl (D) tri (8) KCNO (D) H2N-CO-NH2 (8) KCNO (D) H2N,-CO-NH2 Marks ds (8) Storage and secretion of substances (D) Transcription tB> qana;dsri-i (D) FFTfrfuE 1111111111111111111111111111111I (6) In the experiment ofstanley Miller the left out products were : (A) Amino acids (C) Acetic acids tanfin*wh#*aqutS: (A) ffiqfuqu (c) catiky . (7) Mendel is called the father of: (A) Taxonomy (C) Palaeobotany faq}finq5Fm€: tA> aREffl tc] ifealtwhffl (8) Thyroxin is secreted by : (A) Thyroid gland (C) Hypothalamus qiFffirfurfudra: (A) qiingrifaan (c) -an (8) Nucleotides (D) Oxalo acetic acids (8) #chETEqu tD> tiTREgiv qfaqu (8) Genetics (D) None of the above tB> aifeqFT (D) #a#ra (8) Thymus gland (D) Pituitary gland (8) qurifuan (D) thHrfuan (9) Region.receiving 500-1000 mm annual rainfall is called (A) Humid (8) Arid (C) Semi-arid (D).Temperate qEchqET®5oo-iooofiREifewhTtTdr%,q5genm€: (A) |F (8) gng; tc> at-¥tE tD> ffiin CCSMH21 (19) Marks ds P.T.0. Marks 3i5 (10) Minimum rainfall amount considered as rainy days is (A) 1.5mm (8) 2.5inm (C) 1.Omm (D) 2.Omm q5whndft]fia5qa5qfffirdanrfu7 (A) 1.5ffirfu (8) 2.5ftrRE (c) 1.Offirfu (D] 2.OfiRE (11) The gas contributing major role in global warming (A) Carbon dioxide (C) Nitrous oxide aifachfififfrofaift3THffl€7 (A) whse-erie (C) RTeris (8) Ozone (D) Methane (8) 3ffi (D) fth (12) Medium range weather forecast issued by IMD is for (A) 1:2days (8) 2-7days (C) 10-15 days (D) Noneofthese vilathfinIrITutmaattintrifl3Trfu% tA] ia2ftr @] 2a7ft] tc> ioai5ftr tD> #a*TS (13) Which one of the following gases is not a natural element of the atmosphere ? (A) Chlorofluorocarbon (8) Argon (C) Krypton (D) Water vapour fi±REfiarfu-thFqT9FT5afflTT5fhatTE5TS€7 tA> eddrF5chth tB> wh (c) iffi (I)) adam CCSME21 (19) 1111111111111111111111111111111Ill (14) What is the primary agenda of the Kyoto Protocol ? (A) Control anthropogenic sources of greenhouse gases. (8) Regulate the production of nuclear energy. (C) Regulation of hazardous wastes. (D) None of the above irafitarfuifi±ffiHT€7 (A) 7]rmi5Trdi rfu gTca RE a; ffi q} fffi q5IFT tB> TTfth ed* 3ffliqch fffi q5{TT (c) HalTrq; rferifffi 5I]T (D) #a#rf (15) Which of the following is a disadvantage of most of the renewable energy sources ? (A) High running cost (8) High waste disposal cost (C) Unreliable supply (D) Highly polluting aTffu erarq ed ffi ifi ti a fflT at € ? (A) traqft5mfflira (8) 3a rfeihaa77iiT tc> 3]rq¥qtli^Iq en# tD> tiiqiteTrm (16) Which of the following salts is the main cause of permanent hardness of water ? (A) ,Magnesium bicarbonate (8) Magnesium sulphate (C) Magnesium carbonate (D) None of the above r+Hrtlria-a-iathenaauTG]afiendrfuiFTgzHq5TluT%7 (A) a7th qlsq),qli¢ tc> rfuq5Tife CCSME21 (19) tB> a7thqde tD> ifiaatT5 Marks BEE P.T.O. IllllH""Illllilllllllllllllllll Marks ds(17) Which of the following is not an example of successful applications of biotechnology ? (A) Dolly sheep (a) Human Growth Hormone (C) Graphene sheet (D) Bt cotton finSathenrfuffl`T-ffi±HtFawhq5Tq53=TgruTTff€7 tA> ffing q3> gr3heTrfu (c) rfuife (D> REfa (18) Deficiency of which vitamin is related to the blindness in young children ? (A) VitaminK (8) VitaminA . (C) VitaminE (D) VitaminD ffufanE@didiffi*aihaaHFrfu€3 tA> fun.K tB> farfu.A tc> farfu.E tD> f±Trfu.D (19) Geostationary satellite GSAT-6A launched by ISRO on 29th March, 2018 is mainly used for (A) Communication (a) Agriculture mapping (C) Remote sensing (D) Surveillance IsRogitT29nd,2Oi8q}Tungiv3qngGSAT-6AIr:whaaT€: (A) infi (8) 5f*IIT:;::if±rmS tc) ftdethfi (D> rm¥ (ndapfi) (20) The main cause of pandemic named Corona Virus disease (COVID-19) is (A) SARS-COV'-l virus (8) SARS-COV-2 vius (C) SARS-COV-3 virus (D) All of the above thimtarm(COVID-19)]iTffiaisFutffl3igr5i{uT%: (A) SARS-CoV-1 Ema{H (8) SARS-CoV-2 qlq{p (c) sARs-cov-3 qiqm (D) 3qhaenft CCSME21 (19) IlllllllIIlllllIHllllllllllllIII Marks ds",,unavailable,core_general_studies,Science and Technology,General Science,"Physics, chemistry, biology basics",easy,which,static,default_static_absence_of_current_signal,general,no_state_or_national_keyword,true,4,science and technology::general science::vitamin,vitamin,transparent_keyword_rules,0.72,"CIVIL SERVICES MAIN EXAM-2021, ADVT. NO. 01/2021 - General Science, Environment & Technology Development","https://www.jpsc.gov.in/sam_question_paper.php?exam_name=18&subject=General Science, Environment & Technology Development.pdf&submit=Click+Here+To+Download",/Users/vishal/Documents/New project/data/raw/pdfs/jpsc_src_d8e9da4021bddf5f_civil-services-main-exam-2021-advt-no-01-2021-general-science-environment-technology-development.pdf,extracted,pypdf_text_regex,
q_398bc24bc742af56,src_d8e9da4021bddf5f,JPSC,Jharkhand,2021,Mains,"General Science, Environment & Technology Development",2,"What do you mean by unit? Define MKS, CGs and sl system of units. What are the characteristics of a Standard Unit ? Write the advantages of the SI system. ed a am fflT nd ¥ 7 i5TE5i d} MKs, cGs 3fu sl nd ch rfurfu fi I qF; m5edrfufafro.fflT¥7s.I.nd3anTfapi OFV3Tqm State and explain the laws that explained the relative position of earth with sun. What do you understand by an eclipse and how does it take place ? Draw neat and.clean diagram of Solar eclipse and explain the five ways to view Solar eclipse safely. ed*eneTgivifiwheniaeifliFicaTedndfffichfrm3irHqarEqiHEUTa 3m qqT nd ¥ 3it qg aid rfu dr a 7 ed HguT 5T H5 Sit H"" fha a]i=q 3ir S grRTiRTaaea;ffiifeaaTiqi 32",,unavailable,core_general_studies,Science and Technology,Technology,"Space, IT, biotechnology, defence technology",medium,explain,static,default_static_absence_of_current_signal,general,no_state_or_national_keyword,true,282,science and technology::technology::ai,ai,transparent_keyword_rules,0.645,"CIVIL SERVICES MAIN EXAM-2021, ADVT. NO. 01/2021 - General Science, Environment & Technology Development","https://www.jpsc.gov.in/sam_question_paper.php?exam_name=18&subject=General Science, Environment & Technology Development.pdf&submit=Click+Here+To+Download",/Users/vishal/Documents/New project/data/raw/pdfs/jpsc_src_d8e9da4021bddf5f_civil-services-main-exam-2021-advt-no-01-2021-general-science-environment-technology-development.pdf,extracted,pypdf_text_regex,
