year,series,question_number,correct_option
2014,A,1,B
2014,A,2,A
2014,A,3,A
2014,A,4,D
2014,A,5,C
2014,A,6,A
2014,A,7,A
2014,A,8,C
2014,A,9,C
2014,A,10,B
2014,A,11,B
2014,A,12,B
2014,A,13,C
2014,A,14,C
2014,A,15,C
2014,A,16,C
2014,A,17,C
2014,A,18,B
2014,A,19,C
2014,A,20,B
2014,A,21,B
2014,A,22,B
2014,A,23,A
2014,A,24,D
2014,A,25,C
2014,A,26,B
2014,A,27,D
2014,A,28,B
2014,A,29,D
2014,A,30,C
2014,A,31,A
2014,A,32,C
2014,A,33,A
2014,A,34,D
2014,A,35,D
2014,A,36,A
2014,A,37,A
2014,A,38,D
2014,A,39,B
2014,A,40,B
2014,A,41,A
2014,A,42,B
2014,A,43,C
2014,A,44,C
2014,A,45,B
2014,A,46,A
2014,A,47,C
2014,A,48,C
2014,A,49,D
2014,A,50,A
2014,A,51,B
2014,A,52,C
2014,A,53,B
2014,A,54,D
2014,A,55,B
2014,A,56,C
2014,A,57,C
2014,A,58,C
2014,A,59,B
2014,A,60,B
2014,A,61,C
2014,A,62,A
2014,A,63,C
2014,A,64,C
2014,A,65,B
2014,A,66,D
2014,A,67,C
2014,A,68,B
2014,A,69,D
2014,A,70,B
2014,A,71,C
2014,A,72,B
2014,A,73,D
2014,A,74,A
2014,A,75,B
2014,A,76,B
2014,A,77,D
2014,A,78,D
2014,A,79,C
2014,A,80,A
2014,A,81,B
2014,A,82,B
2014,A,83,B
2014,A,84,A
2014,A,85,C
2014,A,86,A
2014,A,87,D
2014,A,88,C
2014,A,89,C
2014,A,90,D
2014,A,91,B
2014,A,92,A
2014,A,93,C
2014,A,94,B
2014,A,95,D
2014,A,96,B
2014,A,97,A
2014,A,98,D
2014,A,99,A
2014,A,100,C
2015,A,1,C
2015,A,2,A
2015,A,3,B
2015,A,4,A
2015,A,5,B
2015,A,6,D
2015,A,7,C
2015,A,8,B
2015,A,9,B
2015,A,10,A
2015,A,11,C
2015,A,12,B
2015,A,13,A
2015,A,14,B
2015,A,15,A
2015,A,16,B
2015,A,17,B
2015,A,18,A
2015,A,19,C
2015,A,20,D
2015,A,21,D
2015,A,22,C
2015,A,23,C
2015,A,24,B
2015,A,25,C
2015,A,26,D
2015,A,27,B
2015,A,28,B
2015,A,29,C
2015,A,30,D
2015,A,31,C
2015,A,32,C
2015,A,33,B
2015,A,34,C
2015,A,35,B
2015,A,36,D
2015,A,37,A
2015,A,38,D
2015,A,39,D
2015,A,40,B
2015,A,41,B
2015,A,42,D
2015,A,43,A
2015,A,44,D
2015,A,45,C
2015,A,46,B
2015,A,47,C
2015,A,48,B
2015,A,49,A
2015,A,50,C
2015,A,51,A
2015,A,52,D
2015,A,53,B
2015,A,54,B
2015,A,55,B
2015,A,56,D
2015,A,57,B
2015,A,58,C
2015,A,59,A
2015,A,60,C
2015,A,61,D
2015,A,62,B
2015,A,63,C
2015,A,64,C
2015,A,65,B
2015,A,66,B
2015,A,67,D
2015,A,68,A
2015,A,69,A
2015,A,70,D
2015,A,71,A
2015,A,72,C
2015,A,73,D
2015,A,74,C
2015,A,75,A
2015,A,76,C
2015,A,77,B
2015,A,78,A
2015,A,79,C
2015,A,80,B
2015,A,81,B
2015,A,82,D
2015,A,83,D
2015,A,84,C
2015,A,85,C
2015,A,86,C
2015,A,87,C
2015,A,88,A
2015,A,89,B
2015,A,90,B
2015,A,91,D
2015,A,92,D
2015,A,93,D
2015,A,94,C
2015,A,95,A
2015,A,96,A
2015,A,97,B
2015,A,98,A
2015,A,99,C
2015,A,100,C
2017,A,1,D
2017,A,2,C
2017,A,3,A
2017,A,4,A
2017,A,5,A
2017,A,6,B
2017,A,7,B
2017,A,8,C
2017,A,9,A
2017,A,10,B
2017,A,11,A
2017,A,12,B
2017,A,13,C
2017,A,14,C
2017,A,15,D
2017,A,16,B
2017,A,17,D
2017,A,18,C
2017,A,19,C
2017,A,20,B
2017,A,21,C
2017,A,22,B
2017,A,23,A
2017,A,24,B
2017,A,25,D
2017,A,26,D
2017,A,27,A
2017,A,28,D
2017,A,29,C
2017,A,30,B
2017,A,31,C
2017,A,32,A
2017,A,33,C
2017,A,34,C
2017,A,35,D
2017,A,36,D
2017,A,37,B
2017,A,38,B
2017,A,39,C
2017,A,40,A
2017,A,41,D
2017,A,42,A
2017,A,43,A
2017,A,44,A
2017,A,45,D
2017,A,46,C
2017,A,47,A
2017,A,48,A
2017,A,49,B
2017,A,50,D
2017,A,51,B
2017,A,52,A
2017,A,53,B
2017,A,54,C
2017,A,55,D
2017,A,56,B
2017,A,57,C
2017,A,58,B
2017,A,59,C
2017,A,60,B
2017,A,61,B
2017,A,62,D
2017,A,63,D
2017,A,64,B
2017,A,65,B
2017,A,66,B
2017,A,67,B
2017,A,68,B
2017,A,69,A
2017,A,70,A
2017,A,71,C
2017,A,72,B
2017,A,73,D
2017,A,74,C
2017,A,75,A
2017,A,76,D
2017,A,77,B
2017,A,78,C
2017,A,79,C
2017,A,80,B
2017,A,81,A
2017,A,82,A
2017,A,83,A
2017,A,84,C
2017,A,85,D
2017,A,86,C
2017,A,87,B
2017,A,88,A
2017,A,89,B
2017,A,90,D
2017,A,91,A
2017,A,92,A
2017,A,93,C
2017,A,94,D
2017,A,95,B
2017,A,96,B
2017,A,97,C
2017,A,98,A
2017,A,99,C
2017,A,100,D
2018,A,1,B
2018,A,2,D
2018,A,3,C
2018,A,4,B
2018,A,5,A
2018,A,6,C
2018,A,7,A
2018,A,8,D
2018,A,9,C
2018,A,10,A
2018,A,11,C
2018,A,12,D
2018,A,13,A
2018,A,14,D
2018,A,15,C
2018,A,16,A
2018,A,17,C
