question_id,source_id,exam,state,year,stage,paper,question_number,question_text,option_a,option_b,option_c,option_d,source_title,source_url,local_file,extraction_status,extraction_method,quality_flags,notes
q_a73dbae136a46256,src_034d70227aab10d1,BPSC,Bihar,2024,Mains,General studies -II,1,"Write short answer of the following questions : (a) Article - 32 is the “Heart and Soul of the Constitution of India”. Explain. 8 (b) “Criminalisation of politics and politicisation of Criminals”. Analyse this statement in the context of Bihar State. 8 (c) “In India, at present caste is no more a social phenomenon, rather it is a political phenomenon”. Do you agree with this statement ? Analyse and give reasons to support your answer. 8 (9) What is collegium ? Why is it at the center of criticism ? Express your views. 7 (6) In the light of 73"" and 747 Amendment in the Constitution of India, discuss the role of Local Self Government in empowering the women at the grassroot level in Bihar. 7",,,,,70th Combined Competitive Examination - 70th Combined Competitive(Main) Examination (Optional Subjects) - General studies -II,https://bpsc.bihar.gov.in/wp-content/uploads/BPSC_content/QuestionBooklets/General-studies-II.pdf,/Users/vishal/Documents/New project/data/raw/pdfs/bpsc_src_034d70227aab10d1_70th-combined-competitive-examination-70th-combined-competitive-main-examination-optional-subjects-general-studies-ii.pdf,extracted,ocr_recovered,,
q_aadaee2027773e79,src_034d70227aab10d1,BPSC,Bihar,2024,Mains,General studies -II,2,"(a) Trace the Evolution of Political Parties in India from one party dominance to the era of Coalition Governments. Has the coalition politics undermined the authority of the Prime Minister in India ? Give reasons. 19+19=38 02/GO/CC/M-2025 - 03 ( Turn Over ) a | a | be (b) “When there is a change Government at the Center, the Governor's also change.” In the context of this statement examine the role of Governor in India as a link between the Center and the States. Can he in any way act according to his own discretion ? 19+19=38",,,,,70th Combined Competitive Examination - 70th Combined Competitive(Main) Examination (Optional Subjects) - General studies -II,https://bpsc.bihar.gov.in/wp-content/uploads/BPSC_content/QuestionBooklets/General-studies-II.pdf,/Users/vishal/Documents/New project/data/raw/pdfs/bpsc_src_034d70227aab10d1_70th-combined-competitive-examination-70th-combined-competitive-main-examination-optional-subjects-general-studies-ii.pdf,extracted,ocr_recovered,,
q_77f08c418530973b,src_034d70227aab10d1,BPSC,Bihar,2024,Mains,General studies -II,3,"(a) “Besides being a medium of communication, language has also been effective as a symbol of identity”. In the light of this statement analyse the political impact of linguistic identity in India. 38 (b) Write an essay on the political and constitutional changes in Jammu and Kashmir after the abrogation of Article — 370. 38 Section - Il",,,,,70th Combined Competitive Examination - 70th Combined Competitive(Main) Examination (Optional Subjects) - General studies -II,https://bpsc.bihar.gov.in/wp-content/uploads/BPSC_content/QuestionBooklets/General-studies-II.pdf,/Users/vishal/Documents/New project/data/raw/pdfs/bpsc_src_034d70227aab10d1_70th-combined-competitive-examination-70th-combined-competitive-main-examination-optional-subjects-general-studies-ii.pdf,extracted,ocr_recovered,,
q_a5e9923bb4aec6d8,src_034d70227aab10d1,BPSC,Bihar,2024,Mains,General studies -II,4,Write short answer of the following questions : (a) Explain the climatic conditions and mechanism of winter rainfall in India with their spatial spread. 8 (0) Discuss the environmental and economic benefits of mangrove forest cover along the Indian coast with examples. 8 (c) What are the suitable geographical conditions for the cultivation of major types of millets in India ? Explain with examples. 8 02/GO/CC/M-2025 - 03 (2) ( Continued ) (9) Explain the ecological conditions suitable for the cultivation of Makhana (Fox seeds or Lotus seeds) crop. What measures are being taken by the Government to increase its production and marketing ? प्र (e) Discuss the growth and development of automobile industries in and around four largest metropolitan city regions of India. 7,,,,,70th Combined Competitive Examination - 70th Combined Competitive(Main) Examination (Optional Subjects) - General studies -II,https://bpsc.bihar.gov.in/wp-content/uploads/BPSC_content/QuestionBooklets/General-studies-II.pdf,/Users/vishal/Documents/New project/data/raw/pdfs/bpsc_src_034d70227aab10d1_70th-combined-competitive-examination-70th-combined-competitive-main-examination-optional-subjects-general-studies-ii.pdf,extracted,ocr_recovered,,
q_92a23a6639ed2164,src_034d70227aab10d1,BPSC,Bihar,2024,Mains,General studies -II,5,"(a) ‘The Peninsular India is more rich in rock and mineral resources’. Discuss the Statement in relation to their geological formations and associated quarrying and mining activities. 38 (6) Distinguish between the alluvial and the diluvial soils of India and explain their process of formation, characteristics and distribution pattern with examples. 38",,,,,70th Combined Competitive Examination - 70th Combined Competitive(Main) Examination (Optional Subjects) - General studies -II,https://bpsc.bihar.gov.in/wp-content/uploads/BPSC_content/QuestionBooklets/General-studies-II.pdf,/Users/vishal/Documents/New project/data/raw/pdfs/bpsc_src_034d70227aab10d1_70th-combined-competitive-examination-70th-combined-competitive-main-examination-optional-subjects-general-studies-ii.pdf,extracted,ocr_recovered,,
q_4cad19e62ed249e9,src_034d70227aab10d1,BPSC,Bihar,2024,Mains,General studies -II,6,(a) Discuss the causes and consequences of the out migration of population from Bihar and the measures taken by the State to stabilize the population. 38 (b) Examine the ecological and economic benefits of solar energy generation in India with suitable examples. 38 Section - Ill,,,,,70th Combined Competitive Examination - 70th Combined Competitive(Main) Examination (Optional Subjects) - General studies -II,https://bpsc.bihar.gov.in/wp-content/uploads/BPSC_content/QuestionBooklets/General-studies-II.pdf,/Users/vishal/Documents/New project/data/raw/pdfs/bpsc_src_034d70227aab10d1_70th-combined-competitive-examination-70th-combined-competitive-main-examination-optional-subjects-general-studies-ii.pdf,extracted,ocr_recovered,,
q_9aa276a09d83ddac,src_034d70227aab10d1,BPSC,Bihar,2024,Mains,General studies -II,7,"Write short answer of the following questions : (a) Explain how science and technology is helping in agricultural productivity and food preservations. 6 02/GO/CC/M-2025 - 03 (3) ( Turn Over ) (b) What is cyber crime ? Write different types of cyber crime and explain how technology is helping to minimize such crimes ? 6 (०) “We need science and technology in every sphere of life beginning from the treatment of diseases, such as cancer to book a train/air ticket’. Justify the statement. 6 (9) Describe how technology of DNA fingerprinting helps in the area of forensic science. 6 (9) Whatis STEM education ? Describe how itis useful in providing quality education in different regions of Bihar to prepare students for the future workforce. 6 (f) Explain how the drone technology in India is helping extensively in various areas of national security. Justify with suitable examples. 6",,,,,70th Combined Competitive Examination - 70th Combined Competitive(Main) Examination (Optional Subjects) - General studies -II,https://bpsc.bihar.gov.in/wp-content/uploads/BPSC_content/QuestionBooklets/General-studies-II.pdf,/Users/vishal/Documents/New project/data/raw/pdfs/bpsc_src_034d70227aab10d1_70th-combined-competitive-examination-70th-combined-competitive-main-examination-optional-subjects-general-studies-ii.pdf,extracted,ocr_recovered,,
q_f3f0956ebdf10c51,src_034d70227aab10d1,BPSC,Bihar,2024,Mains,General studies -II,8,"(a) Discuss how the significant milestones, like Chandrayaan and Mangalyaan have enhanced the significance of India’s space program globally ? Also mention how these space missions are helpful in the sectors like agriculture, disaster management and urban planning. 36 (0) What do you understand by WiFi ? Explain how it is helped in the development of economy, infrastructure and higher education in India. 36 02/GO/CC/M-2025 - 03 (4)",,,,,70th Combined Competitive Examination - 70th Combined Competitive(Main) Examination (Optional Subjects) - General studies -II,https://bpsc.bihar.gov.in/wp-content/uploads/BPSC_content/QuestionBooklets/General-studies-II.pdf,/Users/vishal/Documents/New project/data/raw/pdfs/bpsc_src_034d70227aab10d1_70th-combined-competitive-examination-70th-combined-competitive-main-examination-optional-subjects-general-studies-ii.pdf,extracted,ocr_recovered,,
q_3dd6e5a614b055b5,src_08a3d427789ea8e1,JPSC,Jharkhand,2017,Preliminary,General studies Paper-1,1,The mature phase of Indus Valley 1. सिन्धु घाटी सभ्यता का परिपक्व है Civilization falls between [A] 2200-1750 ई०पू७ । [8] 2600-1900 8.८. [0] 2500-1500 ई्पू७ [0] 2500-1500 8.८. [0] 3300-1300 $Me 9] 3300-1300 B.c.,2200-1750 8.0. [8] 2600-1900 %%o,,,,"CIVIL SERVICES PT EXAMINATION (BACKLOG)-2017, ADVT. NO. 27/2017 - General studies Paper-1",https://www.jpsc.gov.in/sam_question_paper.php?exam_name=34&subject=General studies Paper-1.pdf&submit=Click+Here+To+Download,/Users/vishal/Documents/New project/data/raw/pdfs/jpsc_src_08a3d427789ea8e1_civil-services-pt-examination-backlog-2017-advt-no-27-2017-general-studies-paper-1.pdf,extracted,ocr_recovered,prelim_candidate_selected,
q_db8020133ec6c0e9,src_08a3d427789ea8e1,JPSC,Jharkhand,2017,Preliminary,General studies Paper-1,2,Which of the Vedas is divided into Black and White? है? [A] Rigveda [A] ऋग्वेद : [B] Yajurveda [8] यजुर्वेद [0] Both [A] and [8] [C] [A] एवं [8] दोनों . [0] Samaveda [0] सामवेद,,,,,"CIVIL SERVICES PT EXAMINATION (BACKLOG)-2017, ADVT. NO. 27/2017 - General studies Paper-1",https://www.jpsc.gov.in/sam_question_paper.php?exam_name=34&subject=General studies Paper-1.pdf&submit=Click+Here+To+Download,/Users/vishal/Documents/New project/data/raw/pdfs/jpsc_src_08a3d427789ea8e1_civil-services-pt-examination-backlog-2017-advt-no-27-2017-general-studies-paper-1.pdf,extracted,ocr_recovered,prelim_candidate_selected,
